AbreviacioBarri,CodiDistricte,NomDistricte,CodiBarri,NomBarri,IndexAtur,PtgAturats,IndexEstrangers,PtgEstrangers,IndexRenda,Renda,IndexSenseEstudis,PtgSenseEstudis
Raval,1,Ciutat Vella,1,el Raval,158.6,"7,2",279.4,"49,6",74.6,"74,6",77.7,"2,2"
Gòtic,1,Ciutat Vella,2,el Barri Gòtic,124.3,"5,6",260.5,"46,3",110.5,"110,5",70.0,"2,0"
Barceloneta,1,Ciutat Vella,3,la Barceloneta,150.7,"6,8",195.6,"34,7",84.8,"84,8",143.9,"4,1"
La Ribera,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",136.9,"6,2",234.3,"41,6",97.8,"97,8",74.6,"2,1"
Fort Pienc,2,Eixample,5,el Fort Pienc,86.2,"3,9",123.4,"21,9",105.0,"105,0",61.7,"1,8"
Sagrada Família,2,Eixample,6,la Sagrada Família,86.7,"3,9",108.4,"19,3",95.9,"95,9",78.0,"2,2"
Dreta Eixample,2,Eixample,7,la Dreta de l'Eixample,66.6,"3,0",121.2,"21,5",170.0,"170,0",39.6,"1,1"
Antiga E Eixample,2,Eixample,8,l'Antiga Esquerra de l'Eixample,75.9,"3,4",117.6,"20,9",139.2,"139,2",48.5,"1,4"
Nova E Eixample,2,Eixample,9,la Nova Esquerra de l'Eixample,83.0,"3,8",101.7,"18,1",105.3,"105,3",52.7,"1,5"
St Antoni,2,Eixample,10,Sant Antoni,91.8,"4,2",120.2,"21,4",104.0,"104,0",81.9,"2,3"
Poble Sec,3,Sants-Montjuïc,11,el Poble Sec,126.6,"5,7",172.7,"30,7",76.1,"76,1",102.4,"2,9"
Marina P. Vermell,3,Sants-Montjuïc,12,la Marina del Prat Vermell,220.2,"10,0",47.0,"8,3",49.7,"49,7",206.4,"5,9"
Marina Port,3,Sants-Montjuïc,13,la Marina de Port,124.4,"5,6",79.0,"14,0",68.3,"68,3",134.4,"3,8"
Font de la Guatlla,3,Sants-Montjuïc,14,la Font de la Guatlla,123.5,"5,6",109.2,"19,4",84.9,"84,9",112.0,"3,2"
Hostafrancs,3,Sants-Montjuïc,15,Hostafrancs,98.8,"4,5",124.5,"22,1",84.6,"84,6",91.0,"2,6"
Bordeta,3,Sants-Montjuïc,16,la Bordeta,99.7,"4,5",74.0,"13,1",73.6,"73,6",115.0,"3,3"
Sants - Badal,3,Sants-Montjuïc,17,Sants - Badal,80.7,"3,7",96.4,"17,1",74.5,"74,5",124.4,"3,5"
Sants,3,Sants-Montjuïc,18,Sants,90.9,"4,1",95.6,"17,0",92.3,"92,3",98.0,"2,8"
Les Corts,4,Les Corts,19,les Corts,82.9,"3,8",62.3,"11,1",119.9,"119,9",58.3,"1,7"
Maternitat,4,Les Corts,20,la Maternitat i Sant Ramon,80.0,"3,6",63.5,"11,3",114.3,"114,3",85.5,"2,4"
Pedralbes,4,Les Corts,21,Pedralbes,39.5,"1,8",98.4,"17,5",242.4,"242,4",16.6,"0,5"
Vallvidrera,5,Sarrià-St Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",42.3,"1,9",80.3,"14,3",130.8,"130,8",60.5,"1,7"
Sarrià,5,Sarrià-St Gervasi,23,Sarrià,41.2,"1,9",71.3,"12,7",186.6,"186,6",36.5,"1,0"
Tres Torres,5,Sarrià-St Gervasi,24,les Tres Torres,46.2,"2,1",53.3,"9,5",211.0,"211,0",15.7,"0,4"
St Gerv-Bonanova,5,Sarrià-St Gervasi,25,Sant Gervasi - la Bonanova,50.2,"2,3",65.2,"11,6",187.5,"187,5",26.8,"0,8"
St Gerv-Galvany,5,Sarrià-St Gervasi,26,Sant Gervasi - Galvany,48.8,"2,2",69.9,"12,4",198.3,"198,3",20.5,"0,6"
Putxet i Farró,5,Sarrià-St Gervasi,27,el Putxet i el Farró,71.1,"3,2",73.0,"13,0",140.6,"140,6",29.6,"0,8"
Vallcarca,6,Gràcia,28,Vallcarca i els Penitents,86.1,"3,9",75.7,"13,5",112.9,"112,9",76.0,"2,2"
El Coll,6,Gràcia,29,el Coll,75.4,"3,4",80.7,"14,3",84.4,"84,4",103.2,"2,9"
La Salut,6,Gràcia,30,la Salut,87.6,"4,0",72.0,"12,8",116.4,"116,4",60.3,"1,7"
Vila de Gràcia,6,Gràcia,31,la Vila de Gràcia,90.2,"4,1",115.1,"20,4",101.5,"101,5",70.9,"2,0"
Camp Grassot,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,83.8,"3,8",76.1,"13,5",108.1,"108,1",65.3,"1,9"
Baix Guinardó,7,Horta-Guinardó,33,el Baix Guinardó,87.0,"3,9",76.2,"13,5",92.0,"92,0",105.3,"3,0"
Can Baró,7,Horta-Guinardó,34,Can Baró,92.1,"4,2",79.2,"14,1",96.0,"96,0",137.0,"3,9"
Guinardó,7,Horta-Guinardó,35,el Guinardó,97.7,"4,4",78.0,"13,9",80.1,"80,1",93.1,"2,6"
Font d'en Fargues,7,Horta-Guinardó,36,la Font d'en Fargues,117.8,"5,3",32.4,"5,8",94.8,"94,8",79.9,"2,3"
Carmel,7,Horta-Guinardó,37,el Carmel,119.6,"5,4",77.3,"13,7",54.5,"54,5",207.2,"5,9"
Teixonera,7,Horta-Guinardó,38,la Teixonera,98.1,"4,5",76.5,"13,6",75.8,"75,8",170.4,"4,8"
St Genís Agudells,7,Horta-Guinardó,39,Sant Genís dels Agudells,98.6,"4,5",73.5,"13,1",86.3,"86,3",210.6,"6,0"
Montbau,7,Horta-Guinardó,40,Montbau,96.3,"4,4",64.1,"11,4",82.2,"82,2",232.0,"6,6"
Vall d'Hebron,7,Horta-Guinardó,41,la Vall d'Hebron,91.7,"4,2",51.5,"9,2",87.5,"87,5",98.8,"2,8"
La Clota,7,Horta-Guinardó,42,la Clota,61.3,"2,8",59.9,"10,6",91.4,"91,4",150.8,"4,3"
Horta,7,Horta-Guinardó,43,Horta,117.8,"5,3",60.5,"10,8",80.6,"80,6",156.4,"4,5"
Vilapiscina,8,Nou Barris,44,Vilapicina i la Torre Llobeta,112.7,"5,1",73.9,"13,1",63.7,"63,7",140.5,"4,0"
Porta,8,Nou Barris,45,Porta,110.7,"5,0",84.4,"15,0",62.5,"62,5",187.8,"5,3"
Turó de la Peira,8,Nou Barris,46,el Turó de la Peira,117.0,"5,3",117.5,"20,9",51.7,"51,7",220.1,"6,3"
Can Peguera,8,Nou Barris,47,Can Peguera,114.5,"5,2",44.6,"7,9",51.5,"51,5",204.0,"5,8"
Guineueta,8,Nou Barris,48,la Guineueta,139.5,"6,3",44.8,"8,0",54.4,"54,4",170.8,"4,9"
Canyelles,8,Nou Barris,49,Canyelles,150.9,"6,8",24.9,"4,4",54.4,"54,4",184.0,"5,2"
Roquetes,8,Nou Barris,50,les Roquetes,143.6,"6,5",116.2,"20,6",57.0,"57,0",193.3,"5,5"
Verdun,8,Nou Barris,51,Verdun,139.3,"6,3",105.1,"18,7",53.8,"53,8",211.9,"6,0"
La Prosperitat,8,Nou Barris,52,la Prosperitat,118.0,"5,4",82.6,"14,7",55.1,"55,1",231.7,"6,6"
Trinitat Nova,8,Nou Barris,53,la Trinitat Nova,200.6,"9,1",105.5,"18,7",40.6,"40,6",230.2,"6,5"
Torre Baró,8,Nou Barris,54,Torre Baró,141.1,"6,4",98.5,"17,5",45.1,"45,1",159.5,"4,5"
Ciutat Meridiana,8,Nou Barris,55,Ciutat Meridiana,202.5,"9,2",160.2,"28,5",34.3,"34,3",146.9,"4,2"
Vallbona,8,Nou Barris,56,Vallbona,175.8,"8,0",69.8,"12,4",51.9,"51,9",204.9,"5,8"
Trinitat Vella,9,Sant Andreu,57,la Trinitat Vella,194.3,"8,8",157.6,"28,0",48.9,"48,9",149.1,"4,2"
Baró de Viver,9,Sant Andreu,58,Baró de Viver,105.0,"4,8",64.7,"11,5",72.6,"72,6",172.1,"4,9"
Bon Pastor,9,Sant Andreu,59,el Bon Pastor,120.0,"5,4",74.2,"13,2",62.0,"62,0",142.1,"4,0"
St Andreu,9,Sant Andreu,60,Sant Andreu,106.8,"4,8",43.2,"7,7",77.0,"77,0",98.2,"2,8"
Sagrera,9,Sant Andreu,61,la Sagrera,96.6,"4,4",69.7,"12,4",77.9,"77,9",103.9,"3,0"
Congrés i Indians,9,Sant Andreu,62,el Congrés i els Indians,96.5,"4,4",74.4,"13,2",71.7,"71,7",128.6,"3,7"
Navas,9,Sant Andreu,63,Navas,94.8,"4,3",80.1,"14,2",84.3,"84,3",97.0,"2,8"
Camp de l'Arpa,10,Sant Martí,64,el Camp de l'Arpa del Clot,106.8,"4,8",93.1,"16,5",82.7,"82,7",90.4,"2,6"
Clot,10,Sant Martí,65,el Clot,103.0,"4,7",81.3,"14,4",83.7,"83,7",88.7,"2,5"
Llacuna,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,88.7,"4,0",122.1,"21,7",92.1,"92,1",76.8,"2,2"
Vila Olímpica,10,Sant Martí,67,la Vila Olímpica del Poblenou,93.5,"4,2",93.3,"16,6",162.0,"162,0",23.6,"0,7"
Poblenou,10,Sant Martí,68,el Poblenou,89.3,"4,1",99.5,"17,7",98.6,"98,6",94.0,"2,7"
Diagonal Mar,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,105.9,"4,8",103.8,"18,4",152.6,"152,6",84.4,"2,4"
Besòs i Maresme,10,Sant Martí,70,el Besòs i el Maresme,145.5,"6,6",147.2,"26,1",54.7,"54,7",202.3,"5,8"
Provençals,10,Sant Martí,71,Provençals del Poblenou,107.6,"4,9",79.0,"14,0",98.7,"98,7",114.4,"3,3"
St Martí Prov.,10,Sant Martí,72,Sant Martí de Provençals,118.5,"5,4",69.7,"12,4",68.7,"68,7",144.4,"4,1"
Verneda i la Pau,10,Sant Martí,73,la Verneda i la Pau,122.4,"5,6",64.9,"11,5",58.8,"58,8",184.0,"5,2"
